sid,smiles,index,Sid,CID
103904222,CS(=O)(=O)NCCNc1cc(cc(Cl)n1)c2c[nH]c3ncccc23,32,103904222,49830299
103904223,CN(C)C1CCCC(C1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,33,103904223,49830300
103904224,CS(=O)(=O)NC1CCCC(C1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,34,103904224,49830301
103904225,CS(=O)(=O)N[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,35,103904225,49830302
103904226,CC(C)(CN)CNc1nc(Cl)cc(n1)c2c[nH]c3ncccc23,36,103904226,49830303
103904227,CNC(=O)N[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,37,103904227,49830304
103904228,CC(C)CN[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,38,103904228,49830305
103904229,CC(C)(CN)CNc1cc(cc(F)n1)c2c[nH]c3ncccc23,39,103904229,49830306
103904230,CC(=O)NC1CCCC(C1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,40,103904230,49830307
103904231,CNCC(=O)N[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,41,103904231,49830308
103904232,CCNC(=O)N[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,42,103904232,49830309
103904233,COc1ccc(CNc2cc(cc(F)n2)c3c[nH]c4ncccc34)cc1,43,103904233,49830310
103904234,Nc1cc(cc(Cl)n1)c2c[nH]c3ncccc23,44,103904234,49830311
103904235,CN(C)CC(=O)N[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,45,103904235,49830312
103904236,CN(Cc1ccccc1)c2cc(cc(Cl)n2)c3c[nH]c4ncccc34,46,103904236,49830313
103904237,C(Nc1nccc(n1)c2c[nH]c3ncccc23)C4CCCCC4,47,103904237,11645208
103904238,FC(F)(F)c1ccccc1CNc2nccc(n2)c3c[nH]c4ncccc34,48,103904238,49830314
103904239,NC1CCCCC1Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,49,103904239,49830315
103904240,Clc1cc(ncn1)c2c[nH]c3ncccc23,50,103904240,49830316
103904241,NC(=O)c1ccc(Nc2ncnc3[nH]cc(c4ccccc4)c23)cc1,51,103904241,49830317
103904242,Fc1cccc(c1)c2c[nH]c3ncccc23,52,103904242,49830318
103904243,Clc1cc(cc(NCC=C)n1)c2c[nH]c3ncccc23,53,103904243,49830319
103904244,CC(C)(Nc1nccc(n1)c2c[nH]c3ncccc23)c4ccccc4,54,103904244,49830320
103904245,CCCCNc1cc(ncn1)c2c[nH]c3ncccc23,55,103904245,49830321
103904246,Cc1cccc(CNc2cc(ncn2)c3c[nH]c4ncccc34)c1,56,103904246,49830322
103904247,FC(F)(F)c1cccc(CNc2cc(ncn2)c3c[nH]c4ncccc34)c1,57,103904247,11537943
103904248,COCCN(CCOC)c1cc(cc(Cl)n1)c2c[nH]c3ncccc23,58,103904248,49830323
103904249,CC(C)(O)CNc1cc(cc(Cl)n1)c2c[nH]c3ncccc23,59,103904249,49830324
103904250,COCC(C)Nc1cc(cc(Cl)n1)c2c[nH]c3ncccc23,60,103904250,49830325
103904251,Cc1cccc(CNc2cc(cc(Cl)n2)c3c[nH]c4ncccc34)c1C,61,103904251,49830326
103904252,CCCC(=O)Nc1cc(cc(Cl)n1)c2c[nH]c3ncccc23,62,103904252,49830327
103904253,Fc1cccc(F)c1C(=O)Nc2cc(cc(Cl)n2)c3c[nH]c4ncccc34,63,103904253,49830328
103904254,CN(C)CC(=O)NC1CCCC(C1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,64,103904254,49830329
103904255,OC1CCCC(C1)Nc2cc(Cl)nc(n2)c3c[nH]c4ncccc34,65,103904255,49830330
103904256,OCCNc1cc(cc(Cl)n1)c2c[nH]c3ncccc23,66,103904256,49830331
103904257,OCCCCNc1cc(cc(Cl)n1)c2c[nH]c3ncccc23,67,103904257,49830332
103904258,N[C@@H]1CC[C@H](CC1)Nc2cc(Cl)nc(n2)c3c[nH]c4ncccc34,68,103904258,49830333
103904259,COCCNc1cc(cc(Cl)n1)c2c[nH]c3ncccc23,69,103904259,49830334
103904260,CS(=O)(=O)N[C@@H]1CC[C@H](CC1)Nc2cc(Cl)nc(n2)c3c[nH]c4ncccc34,70,103904260,49830335
103904261,CC(C)(CO)CCCNc1cc(cc(Cl)n1)c2c[nH]c3ncccc23,71,103904261,49830336
103904262,CCCCC(=O)Nc1cc(cc(Cl)n1)c2c[nH]c3ncccc23,72,103904262,49830337
103904263,Clc1cc(cc(NC(=O)c2ccccc2)n1)c3c[nH]c4ncccc34,73,103904263,49830338
103904264,NC(=O)c1ccccc1c2ncc[nH]2,74,103904264,49830339
103904265,OCCc1ccc(Nc2ncnc3[nH]cc(c4ccccc4)c23)cc1,75,103904265,19063999
103904268,NC(=O)c1ccc(cc1)c2c[nH]c3nc(N)nc(NCc4c(F)cccc4F)c23,76,103904268,49830342
103904269,CNCC#Cc1cnc(N)c2c(csc12)c3ccc(NC(=O)Nc4cccc(C)c4)cc3,77,103904269,11775063
103904270,Nc1c(cnc2c(cnn12)c3ccc4OCOc4c3)c5ccc(NC(=O)Nc6cccc(c6)C(F)(F)F)cc5,78,103904270,49830343
103904271,Cc1cccc(NC(=O)Nc2ccc(cc2)c3csc4c(cnc(N)c34)C#CCCCCCCCCN)c1,79,103904271,49830344
103904272,Nc1ncc(c2cnn(CCO)c2)c3scc(c4ccc(NC(=O)Nc5cccc(F)c5)cc4)c13,80,103904272,46207586
103904273,COc1ccc(NC(=O)Nc2ccc(cc2)c3csc4c(cnc(N)c34)c5cnn(C[C@H](O)CO)c5)cc1,81,103904273,49830345
103904274,CCN(CC)CCCNC(=O)c1cnc(N)c2c(csc12)c3ccc(NC(=O)Nc4cccc(C)c4)cc3,82,103904274,49830346
103904275,Cc1cccc(NC(=O)Nc2ccc(cc2)c3coc4ncnc(N)c34)c1,83,103904275,10043997
103904276,Cc1cccc(NC(=O)Nc2ccc(cc2)c3csc4ncnc(N)c34)c1,84,103904276,6539985
103904277,Nc1ncnc2scc(c3ccc(NC(=O)Nc4cc(ccc4F)C(F)(F)F)cc3)c12,85,103904277,9868229
103904278,Cc1cc(C)cc(NC(=O)Nc2ccc(c(C)c2)c3cccc4C(=O)NCc34)c1,86,103904278,21907506
103904279,Nc1ncc(c2ccncc2)c3scc(c4ccc(NC(=O)Nc5cc(ccc5F)C(F)(F)F)cc4)c13,87,103904279,11156716
103904280,CN(C)CC#Cc1cnc(N)c2c(csc12)c3ccc(NC(=O)Nc4cccc(C)c4)cc3,88,103904280,18451176
103904281,Cc1cccc(NC(=O)Nc2ccc(cc2)c3csc4c(cnc(N)c34)C#CCN5CCCC5)c1,89,103904281,18451223
103904282,Cc1ccc(F)c(NC(=O)Nc2ccc(cc2)c3coc4c(cnc(N)c34)C#CCN5CCOCC5)c1,90,103904282,49830347
103904283,CC(C(=O)N(C)C)n1cc(cn1)c2cnc(N)c3c(csc23)c4ccc(NC(=O)Nc5ccc(C)cc5)cc4,91,103904283,49830348
103904284,Nc1ncnc2scc(c3ccc(NC(=O)Nc4ccccc4)cc3)c12,92,103904284,49830349
103904285,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5cccc(F)c5)cc4)c13,93,103904285,18451199
103904286,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5ccccc5F)cc4)c13,94,103904286,18451197
103904287,Cc1ccc(cn1)c2cnc(N)c3c(csc23)c4ccc(NC(=O)Nc5cccc(F)c5)cc4,95,103904287,49830350
103904288,Cc1cccc(NC(=O)Nc2ccc(cc2)c3cnc4c(cnn4c3N)c5cnn(C)c5)c1,96,103904288,24894620
103904289,Cn1cc(cn1)c2cnn3c(N)c(cnc23)c4ccc(NC(=O)Nc5cccc(c5)C(F)(F)F)cc4,97,103904289,24894081
103904290,Cc1ccc(NC(=O)Nc2ccc(cc2)c3csc4c(cnc(N)c34)c5cnn(C)c5)cc1,98,103904290,49830351
103904291,COc1ccc(NC(=O)Nc2ccc(cc2)c3csc4c(cnc(N)c34)c5cnn(CC(C)(C)O)c5)cc1,99,103904291,46223479
103904292,Cn1cc(cn1)c2cnc(N)c3c(csc23)c4ccc(NC(=O)Nc5ccc(OC(F)F)cc5)cc4,100,103904292,49830352
103904293,CNC(=O)C(C)n1cc(cn1)c2cnc(N)c3c(csc23)c4ccc(NC(=O)Nc5ccc(C)cc5)cc4,101,103904293,49830353
103904294,Cc1cc(C)cc(NC(=O)Nc2ccc(cc2)c3c(C)sc4ncnc(N)c34)c1,102,103904294,6540003
103904295,Cc1cccc(NC(=O)Nc2ccc(cc2)c3csc4ccnc(N)c34)c1,103,103904295,18451374
103904296,Cc1ccc(NC(=O)Nc2ccc(cc2)c3csc4ncnc(N)c34)cc1C,104,103904296,49830354
103904297,Cc1cccc(NC(=O)Nc2ccc(cc2)c3csc4c(cnc(N)c34)C#Cc5cccnc5)c1,105,103904297,11442914
103904298,Cc1cc(C)cc(NC(=O)Nc2ccc(cc2)c3cccc4onc(N)c34)c1,106,103904298,11749082
103904299,Cc1cccc(NC(=O)Nc2ccc(cc2)c3cncc4[nH]nc(N)c34)c1,107,103904299,11544961
103904300,Cc1cccc(NC(=O)Nc2ccc(cc2)c3csc4c(cnc(N)c34)C#CCN)c1,108,103904300,18451149
103904301,Cc1ccc(F)c(NC(=O)Nc2ccc(cc2)c3c(F)ccc4[nH]nc(N)c34)c1,109,103904301,49830355
103904302,CCC(N)(CC)C#Cc1cnc(N)c2c(csc12)c3ccc(NC(=O)Nc4cccc(C)c4)cc3,110,103904302,18451135
103904303,Cc1cccc(NC(=O)Nc2ccc(cc2)c3csc4c(cnc(N)c34)C#CC(C)(C)N)c1,111,103904303,18451141
103904304,Cc1cccc(NC(=O)Nc2ccc(cc2)c3csc4c(cnc(N)c34)C#CCNS(=O)(=O)C)c1,112,103904304,18450918
103904305,Cn1nc(N)c2c(cncc12)c3ccc(NC(=O)Nc4cccc(Cl)c4)cc3,113,103904305,11710909
103904306,Nc1n[nH]c2nccc(c3ccc(NC(=O)Nc4cc(ccc4F)C(F)(F)F)cc3)c12,114,103904306,11690518
103904307,Cc1cccc(NC(=O)Nc2ccc(cc2)c3csc4c(cnc(N)c34)C#CCN5CCOCC5)c1,115,103904307,18451208
103904308,Cc1cccc(NC(=O)Nc2ccc(cc2)c3csc4c(cnc(N)c34)c5cn[nH]c5)c1,116,103904308,18451073
103904309,CNC(=O)c1cnc(N)c2c(csc12)c3ccc(NC(=O)Nc4cccc(Cl)c4)cc3,117,103904309,49830356
103904310,CNC(=O)c1cnc(N)c2c(csc12)c3ccc(NC(=O)Nc4cc(C)ccc4F)cc3,118,103904310,49830357
103904311,Cn1nc(N)c2c(ccnc12)c3ccc(NC(=O)Nc4cccc(c4)C(F)(F)F)cc3,119,103904311,11546373
103904312,Cn1nc(N)c2c(ccnc12)c3ccc(NC(=O)Nc4ccc(F)c(c4)C(F)(F)F)cc3,120,103904312,11719226
103904313,Cc1cccc(NC(=O)Nc2ccc(cc2)c3csc4c(cnc(N)c34)c5cnn(C)c5)c1,121,103904313,49830358
103904314,Cn1cc(cn1)c2cnc(N)c3c(csc23)c4ccc(NC(=O)Nc5cccc(F)c5)cc4,122,103904314,49830359
103904315,CCCn1cc(cn1)c2cnc(N)c3c(csc23)c4ccc(NC(=O)Nc5cccc(F)c5)cc4,123,103904315,49830360
103904316,COC(=O)c1c(C)n2ncnc(N)c2c1c3ccc(NC(=O)Nc4ccccc4)cc3,124,103904316,49830361
103904317,CCOc1ccc(NC(=O)Nc2ccc(cc2)c3csc4c(cnc(N)c34)c5cnn(C)c5)cc1,125,103904317,49830362
103904318,COc1ccc(NC(=O)Nc2ccc(cc2)c3csc4c(cnc(N)c34)c5cnn(CCO)c5)cc1,126,103904318,49830363
103904319,CCN(CC)CC#Cc1cnc(N)c2c(csc12)c3ccc(NC(=O)Nc4cccc(C)c4)cc3,127,103904319,11306240
103904320,CCN(CC)CCNC(=O)\C=C\c1cnc(N)c2c(csc12)c3ccc(NC(=O)Nc4cccc(C)c4)cc3,128,103904320,49830364
103904321,Cc1cc2cc(ccc2[nH]1)c3csc4c(cnc(N)c34)c5cccc(c5)S(=O)(=O)C,129,103904321,18450667
103904322,C[C@@H](O)Cn1cc(cn1)c2cnc(N)c3c(csc23)c4ccc(NC(=O)Nc5cccc(F)c5)cc4,130,103904322,49830365
103904323,Nc1ncc(c2cnn(CCO)c2)c3scc(c4ccc(NC(=O)Nc5ccc(OC(F)F)cc5)cc4)c13,131,103904323,46223254
103904324,CCN(CC)CCCNC(=O)c1cnc(N)c2c(csc12)c3ccc(NC(=O)Nc4cccc(F)c4)cc3,132,103904324,49830366
103904326,C[C@H](O)Cn1cc(cn1)c2cnc(N)c3c(csc23)c4ccc(NC(=O)Nc5cccc(C)c5)cc4,133,103904326,49830367
103904327,Nc1nccc2scc(c3ccc(NC(=O)Nc4ccccc4C(F)(F)F)cc3)c12,134,103904327,18451363
103904328,Cc1cccc(NC(=O)Nc2ccc(cc2)c3cccc4[nH]ncc34)c1,135,103904328,16125042
103904329,Cc1ccc(NC(=O)Nc2ccc(cc2)c3coc4ncnc(N)c34)cc1,136,103904329,9950716
103904330,Cc1cc(C)cc(NC(=O)Nc2ccc3c(CCc4sc5ncnc(N)c5c34)c2)c1,137,103904330,49830368
103904331,Cc1ccc(NC(=O)Nc2ccc(NC(=O)c3csc4ncnc(N)c34)cc2)cc1,138,103904331,49830369
103904332,Cc1cc(C)cc(NC(=O)Nc2ccc(c3cccc4C(=O)NCc34)c(c2)C(F)(F)F)c1,139,103904332,11189864
103904333,Cc1cccc(NC(=O)Nc2ccc(cc2)c3cccc4[nH]nc(N)c34)c1,140,103904333,11314310
103904334,Cc1ccc(c2ccc(NC(=O)Nc3cccc(Br)c3)cc2)c4c(N)n[nH]c14,141,103904334,49830370
103904335,COc1ccc(c2ccc(NC(=O)Nc3cccc(Br)c3)cc2)c4c(N)noc14,142,103904335,11856204
103904336,CCNC(=O)c1cnc(N)c2c(csc12)c3ccc(NC(=O)Nc4cccc(F)c4)cc3,143,103904336,49830371
103904337,Cc1cccc(NC(=O)Nc2ccc(cc2)c3cccc4C(=O)NCc34)c1,144,103904337,5329880
103904338,Cc1ccc(F)c(NC(=O)Nc2ccc(cc2)c3cncc4c3c(N)nn4C)c1,145,103904338,11710853
103904339,Cc1cccc(NC(=O)Nc2ccc(cc2)c3cncc4c3c(N)nn4C)c1,146,103904339,11588815
103904340,Cc1ccc(F)c(NC(=O)Nc2ccc(cc2)c3cccc4[nH]nc(N)c34)c1,147,103904340,11485656
103904341,CC(C)(C(=O)N)n1cc(cn1)c2cnc(N)c3c(csc23)c4ccc(NC(=O)Nc5cccc(F)c5)cc4,148,103904341,49830372
103904343,Cc1cccc(NC(=O)Nc2ccc(cc2F)c3csc4c(cnc(N)c34)c5cnn(CCO)c5)c1,149,103904343,49830373
103904344,CN(C)CCCC(=O)Nc1ccc(cc1)c2cnc(N)c3c(csc23)c4ccc(NC(=O)Nc5cccc(C)c5)cc4,150,103904344,18450958
103904345,CCc1cccc(NC(=O)Nc2ccc(cc2)c3csc4c(cnc(N)c34)c5cnn(C)c5)c1,151,103904345,49830374
103904346,Cc1ccc(F)c(NC(=O)Nc2ccc(cc2)c3nsc4ncnc(N)c34)c1,152,103904346,16043242
103904347,Nc1nccc2scc(c3ccc(NC(=O)Nc4cccc(F)c4)cc3)c12,153,103904347,18451372
103904348,Cc1cccc(NC(=O)Nc2ccc3c(CCc4sc5ncnc(N)c5c34)c2)c1,154,103904348,6540027
103904349,Nc1ncnc2sc3CCc4cc(NC(=O)Nc5ccccc5)ccc4c3c12,155,103904349,49830375
103904350,Cc1ccc(F)c(NC(=O)Nc2ccc(cc2)c3ccc4nccnc4c3N)c1,156,103904350,49830376
103904351,COc1ccc(c2ccc(NC(=O)Nc3ccc(F)c(C)c3)cc2)c4c(N)noc14,157,103904351,11463885
103904352,Nc1ncnc2scc(C(=O)Nc3ccc(NC(=O)Nc4ccccc4)cc3)c12,158,103904352,49830377
103904353,Cc1cc(C)cc(NC(=O)Nc2ccc(NC(=O)c3csc4ncnc(N)c34)cc2)c1,159,103904353,49830378
103904354,C[C@@H](O)Cn1cc(cn1)c2cnc(N)c3c(csc23)c4ccc(NC(=O)Nc5cccc(C)c5)cc4,160,103904354,49830367
103904355,Cc1cccc(NC(=O)Nc2ccc(NC(=O)c3csc4ncnc(N)c34)cc2)c1,161,103904355,16122934
103904356,Cc1ccccc1NC(=O)Nc2ccc3c(CCc4sc5ncnc(N)c5c34)c2,162,103904356,49830379
103904357,Nc1ncnc2onc(c3ccc(NC(=O)Nc4cccc(c4)C(F)(F)F)cc3)c12,163,103904357,10409523
103904358,Cc1n[nH]c2cccc(c3ccc(NC(=O)Nc4cccc(c4)C(F)(F)F)cc3)c12,164,103904358,49830380
103904359,Nc1nccc2scc(c3ccc(NC(=O)Nc4cccc(Cl)c4)cc3)c12,165,103904359,18450541
103904360,Cc1cccc(NC(=O)Nc2ccc(cc2C)c3cccc4C(=O)NCc34)c1,166,103904360,5329902
103904361,CCc1cccc(NC(=O)Nc2ccc3c(CCc4sc5ncnc(N)c5c34)c2)c1,167,103904361,49830381
103904362,Nc1nccc2scc(c3ccc(NC(=O)Nc4cccc(Br)c4)cc3)c12,168,103904362,18451366
103904363,Cc1cccc(NC(=O)Nc2ccc(cc2)c3csc4nc(N)nc(N)c34)c1,169,103904363,49830382
103904364,O=C1Nc2cc(cnc2N1)c3ccccc3,170,103904364,49830383
103904365,Cc1cccc(NC(=O)Nc2ccc(cc2)c3noc4ncnc(N)c34)c1,171,103904365,10067064
103904366,Cn1nc(N)c2c(cncc12)c3ccc(NC(=O)Nc4cccc(c4)C(F)(F)F)cc3,172,103904366,11676233
103904367,Nc1n[nH]c2cc(ccc12)c3ccc(NC(=O)Nc4cccc(c4)C(F)(F)F)cc3,173,103904367,11292807
103904368,Cc1ccccc1NC(=O)Nc2ccc(cc2)c3coc4ncnc(N)c34,174,103904368,10338500
103904369,Cc1cccc(NC(=O)Nc2ccc(cc2)c3ccc4nccnc4c3N)c1,175,103904369,44560751
103904370,Nc1n[nH]c2cccc(c3ccc(NC(=O)Nc4ccccc4)cc3)c12,176,103904370,11244819
103904371,Nc1c(ccc2nccnc12)c3ccc(NC(=O)Nc4cccc(c4)C(F)(F)F)cc3,177,103904371,49830384
103904372,Cc1cc(NC(=O)Nc2ccc(cc2)c3cccc4[nH]nc(N)c34)ccc1F,178,103904372,16125233
103904373,Cc1ccc(F)c(NC(=O)Nc2ccc(cc2)c3cncc4[nH]nc(N)c34)c1,179,103904373,11494558
103904374,Cc1cccc(NC(=O)Nc2ccc(c(F)c2)c3cccc4[nH]nc(N)c34)c1,180,103904374,11176299
103904375,Cc1cc(NC(=O)Nc2ccc(cc2)c3c(F)ccc4[nH]nc(N)c34)ccc1F,181,103904375,49830385
103904376,Cc1cc(NC(=O)Nc2ccc(cc2)c3ccnc4[nH]nc(N)c34)ccc1F,182,103904376,11624999
103904377,Cc1ccc(NC(=O)Nc2ccc(cc2)c3cccc4C(=O)NCc34)cc1C,183,103904377,5329895
103904379,Fc1ccc(NC(=O)Nc2ccc(cc2)c3cccc4sncc34)cc1C(F)(F)F,184,103904379,49830386
103904380,O=C(Nc1ccccc1)Nc2ccccc2,185,103904380,7595
103904381,Cc1cc(C)cc(NC(=O)Nc2ccc(cc2)c3cccc4snc(N)c34)c1,186,103904381,11338239
103904382,Cc1ccc(F)c(NC(=O)Nc2ccc(cc2)c3cccc4c3c(N)nn4C)c1,187,103904382,11338257
103904383,Cc1cccc(NC(=O)Nc2ccc(cc2)c3cccc(c3)C(=O)N)c1,188,103904383,49830387
103904384,Cc1cc(C)cc(NC(=O)Nc2ccc(cc2)c3cccc4sncc34)c1,189,103904384,49830388
103904385,Cc1cc(C)cc(NC(=O)Nc2ccc(cc2)c3ccnc4c3c(N)nn4C)c1,190,103904385,11689579
103904386,O=C(Nc1ccccc1)Nc2ccccn2,191,103904386,221427
103904387,CCc1cccc(NC(=O)Nc2ccc(cc2)c3c(C)oc4ncnc(N)c34)c1,192,103904387,11740916
103904388,Cc1oc2ncnc(N)c2c1c3ccc(NC(=O)Nc4cccc(c4)C(F)(F)F)cc3,193,103904388,10410255
103904389,Nc1ccc(cc1)c2csc3ccnc(N)c23,194,103904389,18450753
103904393,Cc1ccc(F)c(NC(=O)Nc2ccc(cc2)c3cc(CO)c(F)c4[nH]nc(N)c34)c1,195,103904393,11247251
103904398,Cc1cccc(NC(=O)Nc2ccc(cc2)c3nn(C)c4ncnc(N)c34)c1,196,103904398,49830395
103904399,Cc1oc2ncnc(N)c2c1c3ccc(NC(=O)Nc4cc(ccc4F)C(F)(F)F)cc3,197,103904399,10456165
103904400,CN(C)C(=O)\C=C\c1ccc(c2ccc(NC(=O)Nc3cccc(c3)C(F)(F)F)cc2)c4c(N)n[nH]c14,198,103904400,49830396
103904401,Nc1ncnc2sc3CCc4cc(NC(=O)Nc5cccc(c5)C(F)(F)F)ccc4c3c12,199,103904401,49830397
103904403,Cc1nc(N)sc1c2ccnc(Nc3ccc(cc3)N4CCOCC4)n2,200,103904403,6420138
103904404,CCNc1nc(C)c(s1)c2ccnc(Nc3ccc(cc3)N4CCN(CC4)C(=O)C)n2,201,103904404,23652669
103904405,CNc1nc(C)c(s1)c2ccnc(Nc3ccc(cc3)N4CCNCC4)n2,202,103904405,10022738
103904406,CN1CCN(CC1)c2ccc(Nc3ncc(Cl)c(Nc4ccc5[nH]ncc5c4)n3)cc2,203,103904406,49830399
103904407,Fc1ccccc1C(=O)Nc2cccc(c2Cl)c3nc4sccn4c3c5ccnc(Nc6cccc(c6)N7CCOCC7)n5,204,103904407,49830400
103904408,COc1ccc(CN(C)C)cc1Nc2nccc(n2)c3c(nc4sccn34)c5cccc(NC(=O)Cc6ccccc6)c5,205,103904408,49830401
103904409,CN(C)c1c(NC(=O)c2c(F)cccc2F)cccc1c3nc4sccn4c3c5ccnc(Nc6cccc(c6)N7CCOCC7)n5,206,103904409,49830402
103904410,C[C@H](Nc1nccc(n1)c2c(nc3occn23)c4ccc(F)cc4)c5ccccc5,207,103904410,49830403
103904411,O=C(Cc1ccccc1)Nc2cccc(c2)c3nc4sccn4c3c5ccnc(Nc6cccc(c6)N7CCCC7=O)n5,208,103904411,49830404
103904412,CN(C)CCc1ccc(Nc2nccc(n2)c3c(nc4ccccn34)c5cccc(c5)C(O)CO)cc1,209,103904412,49830405
103904413,CN1CCN(CC1)c2ccc(Nc3nc(N)c(s3)C(=O)c4c(Cl)cccc4Cl)cc2,210,103904413,18521941
103904414,Fc1ccc(cc1)c2nc3occn3c2c4ccnc(NC5CCNCC5)n4,211,103904414,11417587
103904415,CN1CCN(CC1)c2ccc(Nc3ncc(C)c(Nc4cccc(c4)S(=O)(=O)NC(C)(C)C)n3)cc2,212,103904415,16722832
103904416,CCNc1nc(C)c(s1)c2ccnc(Nc3ccc(cc3)N4CCNCC4)n2,213,103904416,24752189
103904417,O=C(Cc1ccccc1)Nc2cccc(c2)c3nc4sccn4c3c5ccnc(Nc6ccc(cc6)N7CCOCC7)n5,214,103904417,46886319
103904418,CCN1CCN(CC1)c2ccc(Nc3nccc(n3)c4c(nc5ccccn45)c6cccc(c6)C(=O)Nc7ccccc7F)cc2,215,103904418,49830406
103904419,Fc1cccc(F)c1C(=O)Nc2cccc(c2)c3nc4sccn4c3c5ccnc(Nc6cccc(c6)N7CCCC7=O)n5,216,103904419,49830407
103904420,O=C(Cc1ccccc1)Nc2cccc(c2)c3nc4sccn4c3c5ccnc(Nc6cccc(c6)N7CCOCC7)n5,217,103904420,46886323
103904421,CN(C)CCc1cccc(Nc2nccc(n2)c3c(nc4sccn34)c5cccc(NC(=O)Cc6ccccc6)c5)c1,218,103904421,46886326
103904422,CN1CCN(CC1)c2cccc(Nc3nccc(n3)c4c(nc5ccccn45)C(=O)N)c2,219,103904422,49830408
103904423,CC(=O)N1CCC(CC1)Nc2nccc(n2)c3c(nc4occn34)c5ccc(F)cc5,220,103904423,11407497
